Name,Emoji,Kategorie,Preis (Euro),Einheit,Kalorien (kcal/100g),Protein (g/100g),Kohlenhydrate (g/100g),Fett (g/100g)
"Paprika rot","🫑","Gemüse","0.89","Stück","31","1","6","0.3"
"Paprika gelb","🫑","Gemüse","0.89","Stück","27","1","5.7","0.3"
"Paprika grün","🫑","Gemüse","0.79","Stück","20","0.9","3.7","0.2"
"Gurke","🥒","Gemüse","0.69","Stück","12","0.7","2.2","0.1"
"Tomaten","🍅","Gemüse","1.49","500g","18","0.9","3.5","0.2"
"Cherrytomaten","🍅","Gemüse","1.79","250g","18","0.9","3.9","0.2"
"Rispentomaten","🍅","Gemüse","1.99","500g","18","0.9","3.5","0.2"
"Zwiebeln","🧅","Gemüse","0.89","1kg","38","1.1","8.4","0.1"
"Rote Zwiebeln","🧅","Gemüse","0.99","500g","40","1","9","0.1"
"Frühlingszwiebeln","🌿","Gemüse","0.59","Bund","32","1.8","5.5","0.2"
"Knoblauch","🧄","Gemüse","0.59","Knolle","135","6","28","0.5"
"Spinat","🥬","Gemüse","1.29","300g","20","2.9","1.4","0.4"
"Brokkoli","🥦","Gemüse","0.99","Stück","34","2.8","4","0.4"
"Blumenkohl","🥦","Gemüse","0.99","Stück","25","1.9","3.8","0.3"
"Romanesco","🥦","Gemüse","1.49","Stück","26","2.5","3.6","0.3"
"Eisbergsalat","🥗","Gemüse","0.79","Stück","14","1","2.2","0.2"
"Feldsalat","🥗","Gemüse","1.29","100g","19","1.8","1.8","0.4"
"Rucola","🥗","Gemüse","1.09","75g","25","2.6","2.1","0.7"
"Romanasalat","🥗","Gemüse","0.89","Stück","17","1.2","2.4","0.3"
"Batavia","🥗","Gemüse","0.99","Stück","15","1.1","2","0.2"
"Radicchio","🥗","Gemüse","1.29","Stück","20","1.4","2.8","0.2"
"Kartoffeln","🥔","Gemüse","1.99","1kg","76","2","17","0.1"
"Süßkartoffeln","🍠","Gemüse","1.99","1kg","86","1.6","20","0.1"
"Zucchini","🥒","Gemüse","0.79","Stück","17","1.2","2.5","0.3"
"Karotten","🥕","Gemüse","0.99","1kg","41","0.9","9.7","0.2"
"Möhren","🥕","Gemüse","0.89","1kg","41","0.9","9.7","0.2"
"Mais","🌽","Gemüse","0.89","Stück","86","3.3","18","1.4"
"Champignons","🍄","Gemüse","1.49","500g","22","3.1","2","0.3"
"Steinpilze","🍄","Gemüse","2.99","250g","27","3","2.8","0.5"
"Kräuterseitlinge","🍄","Gemüse","2.49","150g","29","2","4","0.3"
"Pfifferlinge","🍄","Gemüse","3.99","250g","38","2","6","0.5"
"Shiitake","🍄","Gemüse","2.99","100g","34","2.2","5.7","0.5"
"Austernpilze","🍄","Gemüse","2.49","150g","33","3.3","4","0.4"
"Aubergine","🍆","Gemüse","0.99","Stück","25","1","5","0.2"
"Weißkohl","🥬","Gemüse","0.79","Stück","25","1.4","5.4","0.1"
"Rotkohl","🥬","Gemüse","0.99","Stück","31","1.5","6.3","0.2"
"Wirsing","🥬","Gemüse","0.99","Stück","28","2","5","0.3"
"Spitzkohl","🥬","Gemüse","0.99","Stück","24","1.3","4.5","0.2"
"Chinakohl","🥬","Gemüse","0.99","Stück","16","1.2","2.5","0.2"
"Rosenkohl","🥦","Gemüse","1.29","500g","43","3.4","6.5","0.5"
"Lauch","🌿","Gemüse","0.89","Stück","31","1.8","6.2","0.3"
"Sellerie","🥬","Gemüse","0.99","Stück","13","0.7","2.5","0.1"
